id x y z
0 0.57735 0.57735 0.57735
1 0.57735 0.57735 -0.57735
2 0.57735 -0.57735 -0.57735
3 -0.57735 -0.57735 -0.57735
4 -0.57735 -0.57735 0.57735
5 -0.57735 0.57735 0.57735
6 -0.57735 0.57735 -0.57735
7 0.57735 -0.57735 0.57735
8 0 0 -1
9 0 0 1
10 0 1 0
11 0 -1 0
12 -1 0 0
13 1 0 0
14 0 -0.316228 0.948683
15 -0.316228 0 0.948683
16 0 -0.707107 0.707107
17 -0.408248 -0.408248 0.816497
18 -0.707107 0 0.707107
19 0 -0.948683 0.316228
20 -0.408248 -0.816497 0.408248
21 -0.816497 -0.408248 0.408248
22 -0.948683 0 0.316228
23 -0.316228 -0.948683 0
24 -0.707107 -0.707107 0
25 -0.948683 -0.316228 0
26 -0.0990148 -0.0990148 0.990148
27 0 -0.141421 0.989949
28 -0.141421 0 0.989949
29 -0.123091 -0.492366 0.86164
30 0 -0.514496 0.857493
31 -0.235702 -0.235702 0.942809
32 -0.492366 -0.123091 0.86164
33 -0.514496 0 0.857493
34 -0.123091 -0.86164 0.492366
35 0 -0.857493 0.514496
36 -0.272166 -0.680414 0.680414
37 -0.57735 -0.57735 0.57735
38 -0.680414 -0.272166 0.680414
39 -0.86164 -0.123091 0.492366
40 -0.857493 0 0.514496
41 -0.0990148 -0.990148 0.0990148
42 0 -0.989949 0.141421
43 -0.141421 -0.989949 0
44 -0.235702 -0.942809 0.235702
45 -0.492366 -0.86164 0.123091
46 -0.514496 -0.857493 0
47 -0.680414 -0.680414 0.272166
48 -0.86164 -0.492366 0.123091
49 -0.857493 -0.514496 0
50 -0.942809 -0.235702 0.235702
51 -0.990148 -0.0990148 0.0990148
52 -0.989949 -0.141421 0
53 -0.989949 0 0.141421
54 0 0.316228 0.948683
55 0 0.707107 0.707107
56 -0.408248 0.408248 0.816497
57 0 0.948683 0.316228
58 -0.408248 0.816497 0.408248
59 -0.816497 0.408248 0.408248
60 -0.316228 0.948683 0
61 -0.707107 0.707107 0
62 -0.948683 0.316228 0
63 -0.0990148 0.0990148 0.990148
64 0 0.141421 0.989949
65 -0.123091 0.492366 0.86164
66 0 0.514496 0.857493
67 -0.235702 0.235702 0.942809
68 -0.492366 0.123091 0.86164
69 -0.123091 0.86164 0.492366
70 0 0.857493 0.514496
71 -0.272166 0.680414 0.680414
72 -0.57735 0.57735 0.57735
73 -0.680414 0.272166 0.680414
74 -0.86164 0.123091 0.492366
75 -0.0990148 0.990148 0.0990148
76 0 0.989949 0.141421
77 -0.141421 0.989949 0
78 -0.235702 0.942809 0.235702
79 -0.492366 0.86164 0.123091
80 -0.514496 0.857493 0
81 -0.680414 0.680414 0.272166
82 -0.86164 0.492366 0.123091
83 -0.857493 0.514496 0
84 -0.942809 0.235702 0.235702
85 -0.990148 0.0990148 0.0990148
86 -0.989949 0.141421 0
87 0.316228 0 0.948683
88 0.408248 0.408248 0.816497
89 0.707107 0 0.707107
90 0.408248 0.816497 0.408248
91 0.816497 0.408248 0.408248
92 0.948683 0 0.316228
93 0.316228 0.948683 0
94 0.707107 0.707107 0
95 0.948683 0.316228 0
96 0.0990148 0.0990148 0.990148
97 0.141421 0 0.989949
98 0.123091 0.492366 0.86164
99 0.235702 0.235702 0.942809
100 0.492366 0.123091 0.86164
101 0.514496 0 0.857493
102 0.123091 0.86164 0.492366
103 0.272166 0.680414 0.680414
104 0.57735 0.57735 0.57735
105 0.680414 0.272166 0.680414
106 0.86164 0.123091 0.492366
107 0.857493 0 0.514496
108 0.0990148 0.990148 0.0990148
109 0.141421 0.989949 0
110 0.235702 0.942809 0.235702
111 0.492366 0.86164 0.123091
112 0.514496 0.857493 0
113 0.680414 0.680414 0.272166
114 0.86164 0.492366 0.123091
115 0.857493 0.514496 0
116 0.942809 0.235702 0.235702
117 0.990148 0.0990148 0.0990148
118 0.989949 0.141421 0
119 0.989949 0 0.141421
120 0.408248 -0.408248 0.816497
121 0.408248 -0.816497 0.408248
122 0.816497 -0.408248 0.408248
123 0.316228 -0.948683 0
124 0.707107 -0.707107 0
125 0.948683 -0.316228 0
126 0.0990148 -0.0990148 0.990148
127 0.123091 -0.492366 0.86164
128 0.235702 -0.235702 0.942809
129 0.492366 -0.123091 0.86164
130 0.123091 -0.86164 0.492366
131 0.272166 -0.680414 0.680414
132 0.57735 -0.57735 0.57735
133 0.680414 -0.272166 0.680414
134 0.86164 -0.123091 0.492366
135 0.0990148 -0.990148 0.0990148
136 0.141421 -0.989949 0
137 0.235702 -0.942809 0.235702
