id v0 v1
0 2 1
1 1 6
2 6 3
3 3 2
4 7 0
5 0 5
6 5 4
7 4 7
8 5 6
9 1 0
10 7 2
11 3 4
12 9 11
13 11 12
14 12 9
15 9 10
16 10 12
17 10 13
18 13 9
19 11 13
20 8 11
21 12 8
22 8 10
23 13 8
24 9 14
25 14 15
26 15 9
27 14 16
28 16 17
29 17 14
30 15 17
31 17 18
32 18 15
33 16 19
34 19 20
35 20 16
36 17 20
37 20 21
38 21 17
39 18 21
40 21 22
41 22 18
42 19 11
43 11 23
44 23 19
45 20 23
46 23 24
47 24 20
48 21 24
49 24 25
50 25 21
51 22 25
52 25 12
53 12 22
54 9 27
55 27 26
56 26 9
57 27 14
58 14 26
59 26 28
60 28 9
61 26 15
62 15 28
63 14 30
64 30 29
65 29 14
66 30 16
67 16 29
68 14 31
69 31 26
70 31 15
71 29 31
72 29 17
73 17 31
74 31 32
75 32 15
76 17 32
77 32 33
78 33 15
79 32 18
80 18 33
81 16 35
82 35 34
83 34 16
84 35 19
85 19 34
86 16 36
87 36 29
88 36 17
89 34 36
90 34 20
91 20 36
92 36 37
93 37 17
94 20 37
95 17 38
96 38 32
97 38 18
98 37 38
99 37 21
100 21 38
101 38 39
102 39 18
103 21 39
104 39 40
105 40 18
106 39 22
107 22 40
108 19 42
109 42 41
110 41 19
111 42 11
112 11 41
113 11 43
114 43 41
115 43 23
116 23 41
117 19 44
118 44 34
119 44 20
120 41 44
121 23 44
122 44 45
123 45 20
124 23 45
125 23 46
126 46 45
127 46 24
128 24 45
129 20 47
130 47 37
131 47 21
132 45 47
133 24 47
134 47 48
135 48 21
136 24 48
137 24 49
138 49 48
139 49 25
140 25 48
141 21 50
142 50 39
143 50 22
144 48 50
145 25 50
146 50 51
147 51 22
148 25 51
149 25 52
150 52 51
151 52 12
152 12 51
153 51 53
154 53 22
155 12 53
156 9 54
157 54 15
158 54 55
159 55 56
160 56 54
161 15 56
162 56 18
163 55 57
164 57 58
165 58 55
166 56 58
167 58 59
